affiliate_id,primary_geo,traffic_source,vertical_focus,avg_quality
1,SE,Social,Sports,0.6659454909025491
2,FR,Messaging,Poker,0.6786281764219156
3,ES,Social,Casino,0.641441126899283
4,NZ,Streaming,Casino,0.38808511741614504
5,CA,Social,Casino,0.25348448450510336
6,PL,PPC,Casino,0.6081530378085573
7,SE,Streaming,Casino,0.5292335949542496
8,IT,Messaging,Sports,0.6689078657574917
9,FI,PPC,Casino,0.7052930439331905
10,SE,Streaming,Casino,0.6207362148088023
11,IN,PPC,Sports,0.714019962806378
12,PT,Streaming,Casino,0.6343817061172602
13,IT,Streaming,Casino,0.67950970584022
14,FR,Social,Sports,0.49429901056951764
15,IT,Streaming,Sports,0.5730582879252812
16,FR,PPC,Sports,0.6295164144985436
17,IN,SEO,Casino,0.7230792713126128
18,NO,SEO,Casino,0.5409388241663141
19,PL,Social,Bingo,0.6781750883598169
20,NZ,Messaging,Casino,0.5601241812126931
21,IN,SEO,Casino,0.5823686749007804
22,NL,Social,Casino,0.724427856303611
23,NO,Streaming,Sports,0.3010409443418766
24,RO,PPC,Bingo,0.4055291507887858
25,FR,Streaming,Casino,0.3776721903835769
26,ES,PPC,Bingo,0.24995758202275425
27,CA,Streaming,Casino,0.4982603339767235
28,PL,Email,Casino,0.7124150849591611
29,IN,Email,Sports,0.5572673900426137
30,NZ,PPC,Casino,0.6296685122912778
31,NZ,Social,Casino,0.7633826245066189
32,FI,Messaging,Casino,0.7991529198401537
33,SE,SEO,Bingo,0.5896293097910791
34,IN,Streaming,Casino,0.8030378834354096
35,RO,Social,Bingo,0.6138189987651164
36,SE,Streaming,Sports,0.47439026642588067
37,PL,Email,Casino,0.5108399471701897
38,PL,Social,Sports,0.37791952311524757
39,DK,PPC,Casino,0.4667799219399521
40,ES,Email,Casino,0.5462974967888357
41,NO,SEO,Sports,0.7205377529067902
42,FR,Email,Sports,0.8581154746748976
43,IT,SEO,Casino,0.39267277269344397
44,NL,Email,Casino,0.6589241202389878
45,SE,Email,Sports,0.4439184091263698
46,PT,SEO,Sports,0.6712045632694803
